Interval=	0.005 s
ExcelDateTime=	4.2844669800012722e+004	19/04/2017 16:04:30.721099
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Membrane Potential	Output Pulse
Range=	1000.0 mV	10.000 V
UnitName=	mV	*
TopValue=	99.5	*
BottomValue=	-99.4	*
621.25	-14.8	-0.000
621.255	-14.7	-0.001
621.26	-14.5	-0.000
621.265	-14.7	0.000
621.27	-14.9	-0.000
621.275	-14.7	-0.000
621.28	-14.5	0.000
621.285	-14.7	-0.001
621.29	-14.9	-0.000
621.295	-14.7	-0.000
621.3	-14.5	-0.000
621.305	-14.7	-0.000
621.31	-14.9	-0.000
621.315	-14.7	-0.000
621.32	-14.5	-0.001
621.325	-14.7	-0.000
621.33	-14.9	-0.000
621.335	-14.7	0.000
621.34	-14.5	-0.001
621.345	-14.7	0.000
621.35	-14.9	-0.000
621.355	-14.7	-0.000
621.36	-14.5	-0.000
621.365	-14.6	-0.001
621.37	-14.8	-0.000
621.375	-14.6	-0.000
621.38	-14.4	0.000
621.385	-14.6	-0.001
621.39	-14.8	-0.001
621.395	-14.6	-0.000
621.4	-14.4	-0.000
621.405	-14.7	-0.001
621.41	-14.9	-0.000
621.415	-14.7	-0.000
621.42	-14.5	-0.001
621.425	-14.7	-0.000
621.43	-14.8	-0.001
621.435	-14.7	-0.000
621.44	-14.5	-0.000
621.445	-14.7	-0.001
621.45	-14.9	0.000
621.455	-14.7	-0.001
621.46	-14.5	-0.000
621.465	-14.6	-0.001
621.47	-14.8	-0.001
621.475	-14.6	-0.000
621.48	-14.4	-0.001
621.485	-14.6	-0.000
621.49	-14.8	-0.000
621.495	-14.6	0.000
621.5	-14.3	-0.000
621.505	-14.5	0.000
621.51	-14.7	0.000
621.515	-14.5	-0.001
621.52	-14.2	-0.001
621.525	-14.4	-0.000
621.53	-14.7	-0.001
621.535	-14.5	-0.000
621.54	-14.3	0.000
621.545	-14.5	-0.001
621.55	-14.7	-0.000
621.555	-14.5	0.000
621.56	-14.2	-0.000
621.565	-14.4	-0.001
